Scene,ADE (paper),ADE (baseline),ADE (ecp),FDE (paper),FDE (baseline),FDE (ecp),ColRate (baseline),ColRate (ecp)
univ,0.44,0.474,0.478,0.79,0.8574,0.8462,0.8624,0.8832
zara2,0.3,0.3045,0.34,0.48,0.4986,0.5438,0.4294,0.4395
