Scene,ADE (paper),ADE (baseline),ADE (gauss),FDE (paper),FDE (baseline),FDE (gauss),ColRate (baseline),ColRate (gauss)
univ,0.44,0.474,0.4861,0.79,0.8574,0.88,0.8624,0.8607
zara2,0.3,0.3045,0.3116,0.48,0.4986,0.4915,0.4294,0.448
