Scene,ADE (paper),ADE (baseline),ADE (hinge),FDE (paper),FDE (baseline),FDE (hinge),ColRate (baseline),ColRate (hinge)
univ,0.44,0.474,0.5279,0.79,0.8574,0.9612,0.8624,0.8732
zara2,0.3,0.3045,0.3135,0.48,0.4986,0.5006,0.4294,0.4169
